price,no_rooms,no_bathrooms,area,neighborhood,municipality,type,cost_m2
45000,3,3,300,Valle Real,Zapopan,House,150.0
45200,3,4,300,Villa Universitaria,Zapopan,House,150.666666666667
45200,3,4,300,Villa Universitaria,Zapopan,House,150.666666666667
50000,3,2,300,Villa Universitaria,Zapopan,House,166.666666666667
45000,4,5,300,Altamira,Zapopan,House,150.0
38000,4,4,300,Ciudad Bugambilia,Zapopan,House,126.666666666667
38000,4,4,300,Ciudad Bugambilia,Zapopan,House,126.666666666667
30200,4,2,300,Ciudad Del Sol,Zapopan,House,100.666666666667
50000,4,4,300,Ciudad de los niños,Zapopan,House,166.666666666667
45000,4,2,300,Condominio Atlas Colomos,Zapopan,House,150.0
24000,4,4,300,Fraccionamiento Camino Real,Zapopan,House,80.0
21000,4,3,300,Fraccionamiento Jardines Del Country,Guadalajara,House,70.0
21000,4,3,300,Fraccionamiento Jardines Del Country,Guadalajara,House,70.0
53000,4,4,300,Fraccionamiento Los Olivos Residencial,Zapopan,House,176.666666666667
35000,5,2,300,Fraccionamiento Vallarta Norte,Guadalajara,House,116.666666666667
