municipality,avg_price,avg_area,avg_rooms,avg_bathrooms,min_price,max_price,min_area,max_area
Guadalajara,29257.08,191.25,3.0,3.0,6500,68000,30,400
Zapopan,26379.64,174.34,3.0,3.0,3700,85000,40,400
Tlajomulco de Zúñiga,17327.23,156.44,3.0,3.0,4500,49900,60,400
Tonalá,7116.67,99.67,2.0,2.0,5800,9000,89,120
