"price","no_rooms","no_bathrooms","area","neighborhood","municipality","type","cost_m2"
24000,3,5,164,"Jardines Del Sol","Zapopan","House",146.341463414634
16000,3,2,160,"Casa Fuerte","Tlajomulco de Zúñiga","House",100
25000,2,4,200,"La Estancia","Zapopan","House",125
9000,3,2,75,"Vista Sur Residencial","Tlajomulco de Zúñiga","House",120
17000,3,3,173,"Fraccionamiento Jardines Alcalde","Guadalajara","House",98.2658959537572
15500,3,2,97,"Fraccionamiento Valle Imperial","Zapopan","House",159.79381443299
60000,3,2,250,"Fraccionamiento Residencial Victoria","Guadalajara","House",240
15000,3,2,123,"Fraccionamiento Nueva Galicia Residencial","Tlajomulco de Zúñiga","House",121.951219512195
28000,3,5,142,"Fraccionamiento Valle Imperial","Zapopan","House",197.183098591549
42000,3,2,250,"Fraccionamiento Residencial Victoria","Guadalajara","House",168
29000,3,4,153,"Fraccionamiento Solares","Zapopan","House",189.542483660131
80000,5,4,200,"Jardines Universidad","Zapopan","House",400
6500,3,1,70,"Hacienda Santa Cruz","Tlajomulco de Zúñiga","House",92.8571428571429
36350,3,3,252,"Los Robles","Zapopan","House",144.246031746032
17000,3,2,115,"Fraccionamiento Real de Valdepeñas","Zapopan","House",147.826086956522
18000,3,3,112,"Paseos del Sol","Zapopan","House",160.714285714286
29980,4,3,199,"Chapalita","Guadalajara","House",150.653266331658
32000,4,4,260,"San Agustín","Tlajomulco de Zúñiga","House",123.076923076923
13200,3,2,108,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",122.222222222222
19500,4,2,176,"Fraccionamiento Nueva Galicia Residencial","Tlajomulco de Zúñiga","House",110.795454545455
35000,4,3,240,"Jardines Universidad","Zapopan","House",145.833333333333
25900,4,2,180,"Jardines Del Sol","Zapopan","House",143.888888888889
11250,2,2,84,"Fraccionamiento Juan Gil Preciado","Zapopan","House",133.928571428571
17000,3,2,289,"San Agustín","Tlajomulco de Zúñiga","House",58.8235294117647
30000,3,3,190,"Fraccionamiento Solares","Zapopan","House",157.894736842105
29000,5,3,249,"Fraccionamiento Jardines Del Bosque","Guadalajara","House",116.465863453815
25000,3,2,156,"Fraccionamiento Del Pilar Residencial","Tlajomulco de Zúñiga","House",160.25641025641
58000,4,5,320,"Royal Country","Zapopan","House",181.25
18000,3,2,80,"Jardines del Valle","Zapopan","House",225
42000,3,3,170,"Fraccionamiento Solares","Zapopan","House",247.058823529412
27500,4,3,200,"Americana","Guadalajara","House",137.5
8000,2,2,89,"San Agustín","Tlajomulco de Zúñiga","House",89.8876404494382
26700,3,3,145,"Fraccionamiento Solares","Zapopan","House",184.137931034483
12500,3,2,94,"San Agustín","Tlajomulco de Zúñiga","House",132.978723404255
20280,2,2,93,"Las Aguilas","Zapopan","House",218.064516129032
22000,2,3,106,"Mezquitan","Guadalajara","House",207.547169811321
14000,3,3,90,"Santa Margarita ","Zapopan","House",155.555555555556
35000,3,3,300,"Fraccionamiento Rinconada de los Novelistas","Zapopan","House",116.666666666667
26500,4,5,157,"Fraccionamiento Solares","Zapopan","House",168.789808917197
45000,3,3,300,"Valle Real","Zapopan","House",150
36000,3,3,200,"Lomas del Valle","Zapopan","House",180
45000,3,2,400,"Villa Universitaria","Zapopan","House",112.5
10000,3,2,89,"Tlajomulco de Zúñiga","Tlajomulco de Zúñiga","House",112.359550561798
13000,3,2,90,"La Palmira","Zapopan","House",144.444444444444
21500,4,3,127,"Coto Nueva Galicia","Tlajomulco de Zúñiga","House",169.291338582677
21000,3,3,130,"Fraccionamiento Valle Imperial","Zapopan","House",161.538461538462
45000,4,4,389,"Providencia","Guadalajara","House",115.681233933162
40000,4,2,350,"Conjunto habitacional Patria","Zapopan","House",114.285714285714
28000,3,3,210,"Fraccionamiento El Manantial","Tlajomulco de Zúñiga","House",133.333333333333
26000,3,3,250,"Fraccionamiento Solares","Zapopan","House",104
14000,3,2,65,"Fraccionamiento Guadalupe Inn","Zapopan","House",215.384615384615
21000,3,2,120,"Girasoles Acueducto","Zapopan","House",175
30000,3,3,93,"Jardines de La Patria","Zapopan","House",322.58064516129
15000,3,2,91,"El Colli Urbano","Zapopan","House",164.835164835165
21000,4,2,222,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",94.5945945945946
60000,3,4,333,"Royal Country","Zapopan","House",180.18018018018
80000,3,3,380,"Puerta de Hierro","Zapopan","House",210.526315789474
35000,5,5,400,"Jardines Universidad","Zapopan","House",87.5
11500,3,2,102,"Jardines de Santa Anita","Tlajomulco de Zúñiga","House",112.745098039216
13500,3,2,90,"Nuevo México","Zapopan","House",150
25500,2,2,165,"Fraccionamiento Valle Imperial","Zapopan","House",154.545454545455
17000,3,2,242,"Santa Anita","Tlajomulco de Zúñiga","House",70.2479338842975
13000,5,5,131,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",99.236641221374
28500,3,5,157,"Fraccionamiento Solares","Zapopan","House",181.528662420382
50000,3,2,242,"Fraccionamineto Mítica Residencial","Zapopan","House",206.611570247934
14500,3,4,190,"Bosques de Santa Anita","Tlajomulco de Zúñiga","House",76.3157894736842
56000,3,3,281,"Virreyes Residencial","Zapopan","House",199.288256227758
8500,3,4,110,"Fraccionamiento Campo Real","Zapopan","House",77.2727272727273
40000,2,1,229,"Parque Virreyes Residencial","Zapopan","House",174.672489082969
7800,2,1,80,"Colinas de La Primavera","Zapopan","House",97.5
7900,4,4,70,"Alta California Residencial","Tlajomulco de Zúñiga","House",112.857142857143
18000,3,2,102,"Fraccionamiento Valle de San Isidro","Zapopan","House",176.470588235294
32000,4,4,260,"Residencial Provenza","Tlajomulco de Zúñiga","House",123.076923076923
15500,3,3,111,"Villas de Zapopan","Zapopan","House",139.63963963964
9000,3,2,60,"Fraccionamiento Valle de San Nicolás","Zapopan","House",150
9400,2,1,89,"Adamar","Tlajomulco de Zúñiga","House",105.61797752809
17000,3,3,85,"El Centinela","Zapopan","House",200
22000,4,3,135,"Fraccionamiento Real del Carmen Grand","Zapopan","House",162.962962962963
13000,3,2,102,"Fraccionamiento El Oro","Tlajomulco de Zúñiga","House",127.450980392157
40000,4,5,233,"Santillana","Zapopan","House",171.673819742489
26000,4,4,152,"Punto Sur","Tlajomulco de Zúñiga","House",171.052631578947
29000,3,3,170,"Fraccionamiento Solares","Zapopan","House",170.588235294118
24000,3,3,168,"Valle Real","Zapopan","House",142.857142857143
25000,3,3,157,"San Juan de Ocotan","Zapopan","House",159.235668789809
13000,3,3,96,"Senderos de TesistAn","Zapopan","House",135.416666666667
