Price,No_rooms,No_bathrooms,Area,Adress,Colony,Type
22100,3,2,120,Arcos de Guadalupe,Zapopan,House
66000,5,6,620,La Estancia,Zapopan,House
46000,4,4,184,Ciudad Granja,Zapopan,House
10000,2,1,70,El Fortín,Zapopan,House
169500,7,3,493,Chapalita,Guadalajara,House
24000,3,2,168,Fraccionamiento Solares,Zapopan,House
30200,4,2,300,Ciudad Del Sol,Zapopan,House
25000,3,3,131,Bosques de Zapopan,Zapopan,House
15500,2,1,65,Hacienda Del Tepeyac,Zapopan,House
55000,3,4,289,Country Club,Guadalajara,House
24500,3,3,165,Fraccionamiento Valle Imperial,Zapopan,House
14000,3,2,130,Fraccionamiento El Paraíso,Tlajomulco de Zúñiga,House
37000,4,3,320,Fraccionamiento Vallarta Norte,Guadalajara,House
110000,5,5,1050,Fraccionamiento Jardines de San Ignacio,Zapopan,House
10500,2,2,80,Element,Tlajomulco de Zúñiga,House
23900,1,1,60,Fraccionamiento Colomos Providencia,Guadalajara,House
100000,4,4,230,Los Castaños,Zapopan,House
26000,3,2,140,El Palomar,Tlajomulco de Zúñiga,House
14000,4,4,85,Natura Bosque Residencial,Zapopan,House
28500,3,4,149,Fraccionamiento Solares,Zapopan,House
55000,4,3,464,Fraccionamiento Solares,Zapopan,House
16000,3,2,90,Fraccionamiento Jardines Del Nilo,Guadalajara,House
150000,4,5,479,El Álcazar,Zapopan,House
36000,3,3,200,Lomas del Valle,Zapopan,House
47000,4,3,347,El Bajío,Zapopan,House
75000,3,3,717,Lomas del Valle,Zapopan,House
24500,3,2,128,Santillana,Zapopan,House
28000,3,4,144,Fraccionamiento Solares,Zapopan,House
28000,3,3,219,Ciudad Granja,Zapopan,House
45000,3,3,234,Fraccionamiento Solares,Zapopan,House
145000,3,4,494,Puerta de Hierro,Zapopan,House
20000,3,2,238,Arboleda Bosques de Santa Anita,Tlajomulco de Zúñiga,House
45000,4,2,253,Monraz,Guadalajara,House
26650,3,3,169,La Rioja,Tlajomulco de Zúñiga,House
14500,3,3,90,El Fortín,Zapopan,House
38000,3,4,305,Residencial Provenza,Tlajomulco de Zúñiga,House
26000,4,4,153,Fraccionamiento Lomas Del Country,Guadalajara,House
59000,3,2,360,Valle Real,Zapopan,House
25000,3,3,300,El Palomar,Tlajomulco de Zúñiga,House
25000,3,3,157,Fraccionamiento Solares,Zapopan,House
16300,3,2,148,Jardines Del Sur,Guadalajara,House
30000,3,4,253,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
23000,3,2,131,Punto Sur,Tlajomulco de Zúñiga,House
12200,3,1,97,Zapopan Centro,Zapopan,House
45000,5,6,520,Chapalita Sur,Zapopan,House
25000,2,5,130,Fraccionamiento Valle Imperial,Zapopan,House
70000,4,4,412,Valle Real,Zapopan,House
26000,4,3,1,Villa de los Belenes,Zapopan,House
60000,3,1,300,Providencia,Guadalajara,House
13500,2,4,95,Chapalita Oriente,Zapopan,House
28000,5,4,369,Fraccionamiento Bugambilias,Zapopan,House
40000,4,3,198,Chapalita,Guadalajara,House
16500,4,2,148,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
8500,2,,43,El Mirador,Guadalajara,House
80000,3,3,744,Puerta de Hierro,Zapopan,House
131000,4,4,1000,Lomas del Valle,Zapopan,House
18200,4,3,125,Fraccionamiento Real de Valdepeñas,Zapopan,House
40000,4,4,233,Valle Real,Zapopan,House
18500,3,3,135,Volcán Del Colli,Zapopan,House
20000,7,4,172,Barrio El Retiro,Guadalajara,House
30000,4,4,176,Ciudad Granja,Zapopan,House
7200,2,1,90,Jardines del Valle,Zapopan,House
9000,2,2,105,La Venta del Astillero,Zapopan,House
13500,3,2,105,El Fortín,Zapopan,House
26800,3,3,186,Fraccionamiento Solares,Zapopan,House
11000,3,2,70,El Fortín,Zapopan,House
60000,3,5,350,Valle Real,Zapopan,House
7500,3,2,113,Belcanto,Tlajomulco de Zúñiga,House
55000,3,3,507,Puerta de Hierro,Zapopan,House
10900,3,2,64,La Venta del Astillero,Zapopan,House
26700,4,4,144,Fraccionamiento Solares,Zapopan,House
24000,2,4,350,Colinas de Santa Anita,Tlajomulco de Zúñiga,House
13000,4,2,120,Real del Sol,Tlajomulco de Zúñiga,House
110000,3,4,1900,Ciudad Del Sol,Zapopan,House
20000,3,2,227,Santa Ana Tepetitlán,Zapopan,House
40000,4,2,400,Americana,Guadalajara,House
26000,4,4,153,Fraccionamiento Lomas Del Country,Guadalajara,House
33000,3,3,144,Fraccionamiento Solares,Zapopan,House
35000,3,4,228,Valle Real,Zapopan,House
19800,3,2,122,Jocotán,Zapopan,House
7000,1,3,101,Alameda,Tlajomulco de Zúñiga,House
11000,3,4,90,Nuevo México,Zapopan,House
38000,3,3,305,Residencial Provenza,Tlajomulco de Zúñiga,House
29500,4,5,189,Fraccionamiento Solares,Zapopan,House
24000,3,2,315,San Agustín,Tlajomulco de Zúñiga,House
12000,3,2,85,Villas de Zapopan,Zapopan,House
14000,3,2,143,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
12000,3,2,108,Santa Ana Tepetitlán,Zapopan,House
19800,2,3,505,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
100000,3,3,798,Country Club,Guadalajara,House
46500,3,4,360,Valle Real,Zapopan,House
28000,4,4,157,Fraccionamiento Solares,Zapopan,House
28000,4,3,254,Residencial Provenza,Tlajomulco de Zúñiga,House
34000,3,,134,La Mojonera,Zapopan,House
13500,3,2,84,Fraccionamiento Real de Valdepeñas,Zapopan,House
90000,6,5,429,Valle Real,Zapopan,House
